"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","D2201","D2209","D320101","D320102","D320108","D320113","D320121","D3203","D320301","D320302","D320303","D3203031","D3203032","D3203033","D3203034","D3203035","D320304","D3203042","D3203043","D3203044","D320305","D3203051","D320306"
"調査年 コード","調査年","地域 コード","地域","/項目","D2201_財政力指数（市町村財政）【‐】","D2209_一般財源（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D3203_歳出決算総額（市町村財政）【千円】","D320301_議会費（市町村財政）【千円】","D320302_総務費（市町村財政）【千円】","D320303_民生費（市町村財政）【千円】","D3203031_社会福祉費（市町村財政）【千円】","D3203032_老人福祉費（市町村財政）【千円】","D3203033_児童福祉費（市町村財政）【千円】","D3203034_生活保護費（市町村財政）【千円】","D3203035_災害救助費（市町村財政）【千円】","D320304_衛生費（市町村財政）【千円】","D3203042_保健衛生費（市町村財政）【千円】","D3203043_保健所費（市町村財政）【千円】","D3203044_清掃費（市町村財政）【千円】","D320305_労働費（市町村財政）【千円】","D3203051_失業対策費（市町村財政）【千円】","D320306_農林水産業費（市町村財政）【千円】"
"2021100000","2021年度","14103","神奈川県 横浜市 西区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14104","神奈川県 横浜市 中区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14105","神奈川県 横浜市 南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14106","神奈川県 横浜市 保土ケ谷区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14107","神奈川県 横浜市 磯子区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14108","神奈川県 横浜市 金沢区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14109","神奈川県 横浜市 港北区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14110","神奈川県 横浜市 戸塚区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14111","神奈川県 横浜市 港南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14112","神奈川県 横浜市 旭区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14113","神奈川県 横浜市 緑区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14114","神奈川県 横浜市 瀬谷区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14115","神奈川県 横浜市 栄区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14116","神奈川県 横浜市 泉区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14117","神奈川県 横浜市 青葉区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
