"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","C620101","C620105","C620106","C620107","C620108","C620109","C620110","C620111","C620114","C620115","C620116","C620117","C620118","C620119","C620120","C620121","C620122"
"調査年 コード","調査年","地域 コード","地域","/項目","C620101_純付加価値額（民営）（農林漁業）【百万円】","C620105_純付加価値額（民営）（鉱業、採石業、砂利採取業）【百万円】","C620106_純付加価値額（民営）（建設業）【百万円】","C620107_純付加価値額（民営）（製造業）【百万円】","C620108_純付加価値額（民営）（電気・ガス・熱供給・水道業）【百万円】","C620109_純付加価値額（民営）（情報通信業）【百万円】","C620110_純付加価値額（民営）（運輸業、郵便業）【百万円】","C620111_純付加価値額（民営）（卸売業、小売業）【百万円】","C620114_純付加価値額（民営）（金融業、保険業）【百万円】","C620115_純付加価値額（民営）（不動産業、物品賃貸業）【百万円】","C620116_純付加価値額（民営）（学術研究、専門・技術サービス業）【百万円】","C620117_純付加価値額（民営）（宿泊業、飲食サービス業）【百万円】","C620118_純付加価値額（民営）（生活関連サービス業、娯楽業）【百万円】","C620119_純付加価値額（民営）（教育、学習支援業）【百万円】","C620120_純付加価値額（民営）（医療、福祉）【百万円】","C620121_純付加価値額（民営）（複合サービス事業）【百万円】","C620122_純付加価値額（民営）（サービス業（他に分類されないもの））【百万円】"
"2020100000","2020年度","14111","神奈川県 横浜市 港南区","","401","0","18,382","5,187","X","3,734","7,064","47,808","13,004","12,373","38,145","8,583","5,898","8,911","57,403","X","7,779"
"2020100000","2020年度","14112","神奈川県 横浜市 旭区","","73","0","28,299","14,736","4,185","685","12,675","38,982","8,069","10,490","6,653","7,921","5,608","7,766","72,412","3,473","10,430"
"2020100000","2020年度","14113","神奈川県 横浜市 緑区","","118","0","17,060","27,243","755","2,328","9,470","32,876","7,053","5,800","13,485","5,245","3,402","13,582","41,346","734","8,330"
"2020100000","2020年度","14114","神奈川県 横浜市 瀬谷区","","101","0","13,640","12,434","0","441","15,878","29,701","3,293","9,037","2,085","3,755","4,493","2,241","22,782","834","6,787"
"2020100000","2020年度","14115","神奈川県 横浜市 栄区","","71","0","8,184","29,138","0","733","3,905","12,246","X","2,483","35,661","4,350","1,870","4,309","21,392","X","4,584"
"2020100000","2020年度","14116","神奈川県 横浜市 泉区","","252","0","19,446","7,392","40","307","8,827","29,614","3,294","5,269","1,771","3,880","2,793","5,053","42,110","1,431","4,688"
"2020100000","2020年度","14117","神奈川県 横浜市 青葉区","","403","0","14,978","8,509","6","4,740","4,208","69,034","22,370","19,016","31,160","13,598","5,761","20,366","70,742","4,379","12,719"
"2020100000","2020年度","14118","神奈川県 横浜市 都筑区","","735","0","38,908","72,932","X","26,979","20,837","149,615","8,849","23,897","45,075","12,020","9,422","11,146","49,447","X","41,645"
"2020100000","2020年度","14130","神奈川県 川崎市","","1,764","0","178,366","535,187","23,621","332,586","184,544","534,192","57,169","103,260","185,245","67,456","39,511","62,498","343,170","19,993","216,453"
"2020100000","2020年度","14131","神奈川県 川崎市 川崎区","","X","0","64,034","263,023","X","54,814","127,252","117,065","23,333","22,432","56,582","19,395","10,071","6,192","55,212","8,024","78,244"
"2020100000","2020年度","14132","神奈川県 川崎市 幸区","","561","0","31,338","57,977","X","57,816","12,688","94,036","-7,069","11,755","52,848","8,469","5,480","2,095","44,163","X","42,523"
"2020100000","2020年度","14133","神奈川県 川崎市 中原区","","X","0","21,055","134,771","X","152,286","13,194","166,406","14,786","19,705","37,583","12,039","6,586","6,637","55,896","X","49,589"
"2020100000","2020年度","14134","神奈川県 川崎市 高津区","","312","0","20,325","44,411","4,276","51,698","12,183","63,594","7,666","18,583","19,758","7,771","5,653","8,573","42,165","1,426","20,238"
"2020100000","2020年度","14135","神奈川県 川崎市 多摩区","","325","0","13,394","10,013","X","2,411","5,115","25,756","5,708","12,553","7,614","6,443","4,141","16,768","38,347","X","8,282"
"2020100000","2020年度","14136","神奈川県 川崎市 宮前区","","208","0","18,659","7,778","51","5,321","8,765","41,397","4,619","9,008","2,604","8,263","3,996","13,086","61,241","4,282","5,898"
"2020100000","2020年度","14137","神奈川県 川崎市 麻生区","","237","0","9,561","17,215","5","8,239","5,346","25,938","8,127","9,225","8,255","5,076","3,583","9,148","46,147","2,704","11,679"
"2020100000","2020年度","14150","神奈川県 相模原市","","2,335","X","82,715","253,369","5,577","X","65,125","168,421","27,326","30,592","51,727","27,078","25,794","40,655","176,049","8,548","56,810"
"2020100000","2020年度","14151","神奈川県 相模原市 緑区","","685","X","18,489","65,135","X","2,597","14,962","35,416","5,970","8,285","7,094","6,261","9,362","4,978","40,081","1,954","16,319"
"2020100000","2020年度","14152","神奈川県 相模原市 中央区","","544","X","32,423","143,032","X","9,825","31,154","80,913","14,115","14,305","35,419","9,243","8,473","14,531","52,620","4,843","25,075"
"2020100000","2020年度","14153","神奈川県 相模原市 南区","","1,105","0","31,802","45,202","X","X","19,009","52,092","7,241","8,001","9,214","11,574","7,960","21,146","83,348","1,751","15,415"
"2020100000","2020年度","15100","新潟県 新潟市","","9,822","3,338","200,561","200,587","23,748","58,024","84,227","353,750","98,737","46,635","70,709","37,956","29,243","51,106","219,386","12,509","99,265"
"2020100000","2020年度","15101","新潟県 新潟市 北区","","516","1,063","14,551","49,453","526","739","12,492","19,795","1,092","2,481","9,530","1,749","3,168","5,145","15,407","825","8,526"
"2020100000","2020年度","15102","新潟県 新潟市 東区","","91","0","25,397","43,263","1,784","808","18,311","50,184","3,365","4,844","5,911","5,174","5,165","4,205","29,403","885","12,790"
"2020100000","2020年度","15103","新潟県 新潟市 中央区","","124","X","95,889","10,419","X","53,443","15,123","148,944","81,651","30,374","41,192","17,614","10,036","21,463","74,175","1,072","63,824"
"2020100000","2020年度","15104","新潟県 新潟市 江南区","","1,011","0","17,112","29,342","X","X","10,873","27,339","2,841","1,915","4,809","2,671","1,888","1,654","15,085","780","-1,625"
"2020100000","2020年度","15105","新潟県 新潟市 秋葉区","","1,149","X","8,190","15,096","2,683","X","1,559","16,885","2,405","1,073","2,381","1,770","1,645","2,616","17,254","1,280","-495"
"2020100000","2020年度","15106","新潟県 新潟市 南区","","562","0","7,171","27,933","X","X","4,764","15,024","1,687","1,174","529","1,562","993","506","9,403","1,996","3,587"
"2020100000","2020年度","15107","新潟県 新潟市 西区","","516","0","22,423","8,402","109","929","16,061","62,142","4,454","3,653","5,318","5,890","4,834","14,678","46,248","2,750","10,115"
"2020100000","2020年度","15108","新潟県 新潟市 西蒲区","","5,853","0","9,828","16,679","X","X","5,044","13,436","1,243","1,122","1,039","1,528","1,513","839","12,411","2,923","2,542"
"2020100000","2020年度","22100","静岡県 静岡市","","1,712","73","148,047","334,967","35,878","69,624","87,007","332,091","145,835","54,297","63,013","39,062","26,467","46,027","207,820","8,972","114,754"
"2020100000","2020年度","22101","静岡県 静岡市 葵区","","679","X","47,959","36,486","X","32,162","16,964","132,616","100,179","27,791","30,369","16,304","8,851","16,228","112,249","2,076","56,262"
"2020100000","2020年度","22102","静岡県 静岡市 駿河区","","418","X","62,115","105,304","X","31,754","19,039","134,692","11,935","17,935","18,301","11,912","10,655","21,029","54,540","4,300","33,996"
"2020100000","2020年度","22103","静岡県 静岡市 清水区","","615","0","37,973","193,177","2,553","5,708","51,004","64,782","33,722","8,571","14,342","10,846","6,961","8,770","41,031","2,595","24,495"
"2020100000","2020年度","22130","静岡県 浜松市","","7,157","447","141,393","491,201","19,930","27,186","72,606","359,173","76,196","37,640","65,657","47,389","29,817","43,486","212,358","26,541","95,352"
"2020100000","2020年度","22138","静岡県 浜松市 中央区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
