"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","A1101","A161001","A6108","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103","#A01202","#A03504","#A03505","#A03506","#B01301"
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","A161001_未婚者割合（15歳以上人口）【％】","A6108_昼夜間人口比率【％】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】","#A01202_可住地面積１km2当たり人口密度【人】","#A03504_15歳未満人口割合【％】","#A03505_15～64歳人口割合【％】","#A03506_65歳以上人口割合【％】","#B01301_可住地面積割合【％】"
"2023100000","2023年度","15108","新潟県 新潟市 西蒲区","","***","***","***","17,658","14,362","0","***","***","***","***","***","***","***","***","***","81.3"
"2023100000","2023年度","22100","静岡県 静岡市","","***","***","***","141,193","34,268","0","***","***","***","***","***","***","***","***","***","24.3"
"2023100000","2023年度","22101","静岡県 静岡市 葵区","","***","***","***","107,375","14,663","0","***","***","***","***","***","***","***","***","***","13.7"
"2023100000","2023年度","22102","静岡県 静岡市 駿河区","","***","***","***","7,306","5,423","0","***","***","***","***","***","***","***","***","***","74.2"
"2023100000","2023年度","22103","静岡県 静岡市 清水区","","***","***","***","26,512","14,182","0","***","***","***","***","***","***","***","***","***","53.5"
"2023100000","2023年度","22130","静岡県 浜松市","","***","***","***","155,811","49,043","5,334","***","***","***","***","***","***","***","***","***","31.5"
"2023100000","2023年度","22138","静岡県 浜松市 中央区","","***","***","***","-","-","-","***","***","***","***","***","***","***","***","***","-"
"2023100000","2023年度","22139","静岡県 浜松市 浜名区","","***","***","***","-","-","-","***","***","***","***","***","***","***","***","***","-"
"2023100000","2023年度","22140","静岡県 浜松市 天竜区","","***","***","***","94,384","9,051","0","***","***","***","***","***","***","***","***","***","9.6"
"2023100000","2023年度","23100","愛知県 名古屋市","","***","***","***","32,650","31,689","0","***","***","***","***","***","***","***","***","***","97.1"
